event_month,date_event_began,time_event_began,restoration_date,restoration_time,area_affected,nerc_region_list,alert_criteria,event_type,demand_loss_(mw),number_of_customers_affected,year
april,2022-04-27 00:00:00,09:00:00,2022-04-27 00:00:00,09:01:00,ohio:muskingum county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,,,2022
april,2022-04-28 00:00:00,07:56:00,2022-04-28 00:00:00,08:48:00,north carolina:south carolina,['serc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,74,,2022
april,2022-04-28 00:00:00,15:45:00,nat,,new mexico:san juan county,['wecc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
april,2022-04-29 00:00:00,07:05:00,2022-04-29 00:00:00,07:06:00,california,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
may,2022-05-02 00:00:00,14:24:00,2022-05-02 00:00:00,14:25:00,california,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,,0,2022
may,2022-05-03 00:00:00,06:42:00,2022-05-03 00:00:00,13:59:00,new hampshire:carroll county,['npcc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
may,2022-05-03 00:00:00,00:17:00,2022-05-04 00:00:00,12:00:00,louisiana,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,0,0,2022
may,2022-05-04 00:00:00,14:07:00,2022-05-05 00:00:00,01:57:00,michigan:wayne county,['rf'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,,0,2022
may,2022-05-05 00:00:00,13:06:00,2022-05-05 00:00:00,14:06:00,arkansas,['serc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,,0,2022
may,2022-05-06 00:00:00,03:02:00,2022-05-06 00:00:00,03:34:00,michigan:jackson county,['rf'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,fuel supply deficiency,0,0,2022
may,2022-05-09 00:00:00,16:25:00,2022-05-09 00:00:00,17:10:00,texas:haskell county,['texas re'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
